ADC1,ADC2,ADC3,ADC4,ADC5,ADC6,ADC7,ADC8,Counter,Timestamp
528567,494,548,554,575,537,566,555,34,2025-04-15 14:03:49.301
528568,498,541,555,569,536,557,559,35,2025-04-15 14:03:49.305
528569,497,538,545,563,527,555,549,36,2025-04-15 14:03:49.309
528570,499,542,551,570,533,561,553,37,2025-04-15 14:03:49.313
528571,500,545,557,574,541,564,563,38,2025-04-15 14:03:49.317
528572,495,551,557,579,538,568,558,39,2025-04-15 14:03:49.321
528573,501,543,556,571,537,562,561,40,2025-04-15 14:03:49.325
528574,500,536,548,564,531,553,554,41,2025-04-15 14:03:49.329
528575,502,541,556,567,535,561,557,42,2025-04-15 14:03:49.333
528576,503,546,560,574,543,564,565,43,2025-04-15 14:03:49.337
528577,499,547,558,574,542,564,563,44,2025-04-15 14:03:49.341
528578,499,541,554,572,535,561,555,45,2025-04-15 14:03:49.345
528579,495,535,544,563,526,556,546,46,2025-04-15 14:03:49.349
528580,501,540,548,567,535,557,551,47,2025-04-15 14:03:49.353
528581,497,549,559,578,533,567,560,48,2025-04-15 14:03:49.357
528582,499,548,557,576,539,566,559,49,2025-04-15 14:03:49.361
528583,498,544,551,570,533,562,554,50,2025-04-15 14:03:49.365
528584,493,536,547,563,526,555,546,51,2025-04-15 14:03:49.370
528585,499,542,550,570,533,560,550,52,2025-04-15 14:03:49.374
528586,498,546,558,573,539,565,562,53,2025-04-15 14:03:49.378
528587,495,544,556,570,539,562,560,54,2025-04-15 14:03:49.382
528588,496,542,552,569,533,559,555,55,2025-04-15 14:03:49.386
528589,497,536,542,565,526,555,545,56,2025-04-15 14:03:49.390
528590,502,539,553,567,534,557,557,57,2025-04-15 14:03:49.394
528591,498,549,557,577,536,564,557,58,2025-04-15 14:03:49.398
528592,497,548,559,576,541,567,567,59,2025-04-15 14:03:49.402
528593,497,544,549,571,533,562,552,60,2025-04-15 14:03:49.406
528594,497,535,543,564,525,555,546,61,2025-04-15 14:03:49.410
528595,503,540,551,568,532,552,553,62,2025-04-15 14:03:49.414
528596,497,548,556,576,537,564,560,63,2025-04-15 14:03:49.418
528597,492,544,552,572,535,563,555,64,2025-04-15 14:03:49.422
528598,498,537,550,565,533,557,556,65,2025-04-15 14:03:49.426
528599,496,532,545,561,527,550,551,66,2025-04-15 14:03:49.430
528600,500,539,551,569,533,558,555,67,2025-04-15 14:03:49.434
528601,497,550,558,579,539,567,560,68,2025-04-15 14:03:49.438
528602,497,551,555,577,539,568,557,69,2025-04-15 14:03:49.442
528603,498,537,551,566,541,558,558,70,2025-04-15 14:03:49.446
528604,501,537,549,564,530,554,554,71,2025-04-15 14:03:49.450
528605,497,544,550,571,539,562,553,72,2025-04-15 14:03:49.454
528606,502,546,560,575,543,565,560,73,2025-04-15 14:03:49.458
528607,500,543,557,574,540,566,560,74,2025-04-15 14:03:49.462
528608,499,540,551,568,535,558,558,75,2025-04-15 14:03:49.466
528609,501,536,549,565,530,555,553,76,2025-04-15 14:03:49.470
528610,500,547,551,573,536,563,555,77,2025-04-15 14:03:49.474
528611,504,550,563,578,544,566,564,78,2025-04-15 14:03:49.478
528612,499,551,558,579,539,569,560,79,2025-04-15 14:03:49.485
528613,503,541,555,571,536,559,560,80,2025-04-15 14:03:49.486
528614,498,538,548,567,529,557,550,81,2025-04-15 14:03:49.490
528615,502,546,554,572,536,562,556,82,2025-04-15 14:03:49.494
528616,501,552,559,580,543,570,563,83,2025-04-15 14:03:49.498
528617,501,549,553,576,539,566,561,84,2025-04-15 14:03:49.502
528618,502,541,554,569,536,558,559,85,2025-04-15 14:03:49.506
528619,501,543,548,570,528,560,550,86,2025-04-15 14:03:49.510
528620,504,550,555,575,539,565,559,87,2025-04-15 14:03:49.514
528621,500,553,560,579,541,571,564,88,2025-04-15 14:03:49.518
528622,502,550,561,576,542,567,566,89,2025-04-15 14:03:49.522
528623,498,543,552,571,534,561,554,90,2025-04-15 14:03:49.526
528624,504,540,551,567,533,557,553,91,2025-04-15 14:03:49.532
528625,508,544,558,575,540,566,562,92,2025-04-15 14:03:49.534
528626,504,553,564,581,544,570,564,93,2025-04-15 14:03:49.538
528627,501,551,560,576,541,567,561,94,2025-04-15 14:03:49.542
528628,502,548,552,571,535,562,554,95,2025-04-15 14:03:49.547
528629,500,539,550,569,533,558,555,96,2025-04-15 14:03:49.551
528630,506,548,557,578,538,567,559,97,2025-04-15 14:03:49.555
528631,505,552,565,580,546,569,569,98,2025-04-15 14:03:49.559
528632,505,551,560,579,543,568,561,99,2025-04-15 14:03:49.563
528633,504,546,553,574,535,564,555,100,2025-04-15 14:03:49.567
528634,506,541,554,568,535,558,558,101,2025-04-15 14:03:49.571
528635,504,551,557,580,537,570,558,102,2025-04-15 14:03:49.575
528636,508,555,567,583,547,570,572,103,2025-04-15 14:03:49.579
528637,505,551,562,580,542,570,564,104,2025-04-15 14:03:49.583
528638,506,543,558,572,540,562,563,105,2025-04-15 14:03:49.587
528639,506,547,551,573,535,563,554,106,2025-04-15 14:03:49.591
528640,509,555,560,578,542,569,563,107,2025-04-15 14:03:49.595
528641,506,553,565,582,547,567,568,108,2025-04-15 14:03:49.602
528642,502,550,561,579,542,565,562,109,2025-04-15 14:03:49.603
528643,505,546,554,572,537,562,560,110,2025-04-15 14:03:49.607
528644,505,543,554,567,536,559,560,111,2025-04-15 14:03:49.612
528645,509,548,562,575,544,565,565,112,2025-04-15 14:03:49.615
528646,505,554,564,583,544,577,565,113,2025-04-15 14:03:49.619
528647,505,550,562,577,543,569,566,114,2025-04-15 14:03:49.623
528648,502,543,553,570,535,560,556,115,2025-04-15 14:03:49.627
528649,504,544,551,572,535,563,556,116,2025-04-15 14:03:49.631
528650,503,546,558,576,539,566,562,117,2025-04-15 14:03:49.635
528651,502,554,561,582,543,572,567,118,2025-04-15 14:03:49.639
528652,500,550,559,578,532,567,559,119,2025-04-15 14:03:49.643
528653,506,543,555,571,536,561,557,120,2025-04-15 14:03:49.647
528654,503,543,550,571,532,561,551,121,2025-04-15 14:03:49.651
528655,504,549,558,580,540,569,560,122,2025-04-15 14:03:49.655
528656,503,554,562,582,544,567,566,123,2025-04-15 14:03:49.659
528657,500,547,559,577,540,567,561,124,2025-04-15 14:03:49.663
528658,501,541,552,569,533,560,552,125,2025-04-15 14:03:49.683
528659,504,540,553,567,534,559,558,126,2025-04-15 14:03:49.683
528660,505,552,558,579,540,569,560,127,2025-04-15 14:03:49.683
528661,502,552,564,578,544,566,565,128,2025-04-15 14:03:49.684
528662,500,551,558,579,539,567,559,129,2025-04-15 14:03:49.684
528663,503,542,553,570,536,560,557,130,2025-04-15 14:03:49.687
528664,501,541,552,560,533,560,555,131,2025-04-15 14:03:49.691
528665,505,547,558,575,541,566,564,132,2025-04-15 14:03:49.695
528666,501,552,560,578,542,568,561,133,2025-04-15 14:03:49.699
528667,501,543,558,572,539,564,563,134,2025-04-15 14:03:49.703
528668,501,538,549,566,533,556,555,135,2025-04-15 14:03:49.707
528669,501,540,549,567,532,558,553,136,2025-04-15 14:03:49.711
528670,505,547,559,576,541,565,566,137,2025-04-15 14:03:49.715
528671,494,553,559,580,541,571,561,138,2025-04-15 14:03:49.720
528672,504,547,557,575,541,559,564,139,2025-04-15 14:03:49.730
528673,501,540,550,570,531,566,552,140,2025-04-15 14:03:49.730
528674,500,540,550,569,532,560,553,141,2025-04-15 14:03:49.732
528675,502,549,560,577,539,568,559,142,2025-04-15 14:03:49.736
528676,496,552,558,579,540,568,561,143,2025-04-15 14:03:49.740
528677,501,544,559,571,538,563,560,144,2025-04-15 14:03:49.744
528678,496,537,548,566,531,556,552,145,2025-04-15 14:03:49.748
528679,501,536,550,566,534,557,556,146,2025-04-15 14:03:49.752
528680,501,547,565,576,539,565,562,147,2025-04-15 14:03:49.756
528681,499,548,556,578,540,567,559,148,2025-04-15 14:03:49.760
528682,499,547,554,573,538,564,558,149,2025-04-15 14:03:49.764
528683,498,536,548,563,532,555,555,150,2025-04-15 14:03:49.768
528684,498,544,546,569,531,560,550,151,2025-04-15 14:03:49.772
528685,504,546,557,574,541,565,564,152,2025-04-15 14:03:49.776
528686,500,546,558,574,540,562,560,153,2025-04-15 14:03:49.780
528687,496,546,552,571,535,563,553,154,2025-04-15 14:03:49.784
528688,499,535,549,564,531,554,553,155,2025-04-15 14:03:49.788
528689,499,537,550,566,531,556,555,156,2025-04-15 14:03:49.792
528690,500,548,557,573,540,564,562,157,2025-04-15 14:03:49.796
528691,501,546,560,574,545,567,564,158,2025-04-15 14:03:49.800
528692,493,545,552,573,535,564,552,159,2025-04-15 14:03:49.804
528693,497,536,545,564,528,555,547,160,2025-04-15 14:03:49.808
528694,498,541,550,570,532,559,551,161,2025-04-15 14:03:49.812
528695,502,545,560,573,543,564,563,162,2025-04-15 14:03:49.816
528696,498,545,557,572,539,564,563,163,2025-04-15 14:03:49.820
528697,500,544,554,571,537,562,560,164,2025-04-15 14:03:49.824
528698,497,537,545,565,528,556,547,165,2025-04-15 14:03:49.828
528699,498,533,549,566,531,557,552,166,2025-04-15 14:03:49.837
528700,499,549,557,576,538,569,559,167,2025-04-15 14:03:49.838
528701,496,551,558,578,538,567,558,168,2025-04-15 14:03:49.840
528702,498,544,552,571,535,562,557,169,2025-04-15 14:03:49.854
528703,501,536,540,563,532,554,555,170,2025-04-15 14:03:49.854
528704,501,542,552,569,535,559,560,171,2025-04-15 14:03:49.855
528705,502,547,558,577,540,567,560,172,2025-04-15 14:03:49.856
528706,498,549,557,578,538,565,560,173,2025-04-15 14:03:49.860
528707,499,544,552,570,535,563,553,174,2025-04-15 14:03:49.864
528708,498,537,545,565,528,555,549,175,2025-04-15 14:03:49.868
528709,501,541,554,568,534,556,556,176,2025-04-15 14:03:49.872
528710,500,550,558,580,539,569,559,177,2025-04-15 14:03:49.876
528711,501,547,558,574,542,564,563,178,2025-04-15 14:03:49.880
528712,501,543,555,572,538,562,558,179,2025-04-15 14:03:49.884
528713,499,543,550,565,531,555,553,180,2025-04-15 14:03:49.888
528714,500,542,554,568,536,560,556,181,2025-04-15 14:03:49.893
528715,500,550,557,578,539,567,560,182,2025-04-15 14:03:49.897
528716,500,547,559,576,542,567,564,183,2025-04-15 14:03:49.901
528717,501,545,556,570,537,561,557,184,2025-04-15 14:03:49.905
528718,486,535,546,565,527,555,545,185,2025-04-15 14:03:49.909
528719,504,540,555,569,535,558,560,186,2025-04-15 14:03:49.913
528720,501,547,558,576,541,566,565,187,2025-04-15 14:03:49.917
528721,498,545,557,573,539,564,562,188,2025-04-15 14:03:49.921
528722,497,542,552,569,531,560,551,189,2025-04-15 14:03:49.925
528723,501,536,547,562,531,553,552,190,2025-04-15 14:03:49.929
528724,499,538,551,567,533,558,555,191,2025-04-15 14:03:49.933
528725,495,550,557,578,538,566,560,192,2025-04-15 14:03:49.937
528726,500,548,560,574,542,566,565,193,2025-04-15 14:03:49.941
528727,500,543,556,570,538,562,560,194,2025-04-15 14:03:49.945
528728,498,541,547,567,529,558,548,195,2025-04-15 14:03:49.949
528729,503,543,551,571,536,560,556,196,2025-04-15 14:03:49.954
528730,498,549,556,578,538,567,560,197,2025-04-15 14:03:49.957
528731,495,548,557,576,537,566,558,198,2025-04-15 14:03:49.961
528732,501,541,553,568,536,558,557,199,2025-04-15 14:03:49.965
528733,498,538,548,565,530,556,548,200,2025-04-15 14:03:49.969
528734,504,543,554,570,535,562,556,201,2025-04-15 14:03:49.973
528735,503,550,561,576,542,567,565,202,2025-04-15 14:03:49.977
528736,501,547,561,576,541,566,564,203,2025-04-15 14:03:49.981
528737,500,542,555,569,536,559,558,204,2025-04-15 14:03:49.985
528738,500,541,547,567,530,560,549,205,2025-04-15 14:03:49.989
528739,502,546,555,571,535,563,557,206,2025-04-15 14:03:49.993
528740,500,551,560,577,540,567,563,207,2025-04-15 14:03:49.997
528741,500,547,560,573,541,564,563,208,2025-04-15 14:03:50.001
528742,489,543,552,571,533,562,554,209,2025-04-15 14:03:50.005
528743,501,537,548,566,532,556,554,210,2025-04-15 14:03:50.010
528744,500,546,552,572,534,563,554,211,2025-04-15 14:03:50.013
528745,499,546,558,576,540,566,563,212,2025-04-15 14:03:50.017
528746,499,547,558,574,541,566,563,213,2025-04-15 14:03:50.021
528747,499,542,552,569,540,560,554,214,2025-04-15 14:03:50.025
528748,501,537,548,563,529,553,552,215,2025-04-15 14:03:50.029
528749,501,541,556,569,538,560,560,216,2025-04-15 14:03:50.033
528750,496,551,560,578,541,571,560,217,2025-04-15 14:03:50.037
528751,501,547,557,577,540,565,562,218,2025-04-15 14:03:50.041
528752,497,543,549,570,532,561,551,219,2025-04-15 14:03:50.045
528753,501,538,550,570,535,556,555,220,2025-04-15 14:03:50.049
528754,503,545,557,572,539,562,562,221,2025-04-15 14:03:50.053
528755,501,548,561,576,541,567,563,222,2025-04-15 14:03:50.057
528756,498,551,557,576,537,565,558,223,2025-04-15 14:03:50.062
528757,501,545,551,572,533,563,553,224,2025-04-15 14:03:50.066
528758,502,536,550,565,533,556,555,225,2025-04-15 14:03:50.070
528759,503,545,552,570,539,562,560,226,2025-04-15 14:03:50.074
528760,500,552,559,580,540,568,560,227,2025-04-15 14:03:50.078
528761,499,547,557,575,539,565,560,228,2025-04-15 14:03:50.082
528762,497,540,552,567,534,558,558,229,2025-04-15 14:03:50.086
528763,503,539,550,568,530,557,550,230,2025-04-15 14:03:50.090
528764,503,546,557,572,539,563,562,231,2025-04-15 14:03:50.094
528765,505,551,565,579,544,567,566,232,2025-04-15 14:03:50.098
528766,500,548,558,578,537,567,559,233,2025-04-15 14:03:50.102
528767,504,539,552,566,534,558,556,234,2025-04-15 14:03:50.106
528768,498,539,548,567,530,557,550,235,2025-04-15 14:03:50.110
528769,501,550,556,576,536,565,551,236,2025-04-15 14:03:50.114
528770,501,548,560,576,541,567,565,237,2025-04-15 14:03:50.118
528771,499,550,557,579,535,567,558,238,2025-04-15 14:03:50.122
528772,501,542,552,570,536,560,556,239,2025-04-15 14:03:50.126
528773,500,538,548,566,530,557,551,240,2025-04-15 14:03:50.130
528774,504,548,557,576,537,565,560,241,2025-04-15 14:03:50.134
528775,500,549,561,576,542,567,565,242,2025-04-15 14:03:50.138
528776,498,547,555,574,538,564,558,243,2025-04-15 14:03:50.142
528777,499,542,549,570,533,561,552,244,2025-04-15 14:03:50.146
528778,493,538,551,566,532,557,556,245,2025-04-15 14:03:50.150
528779,503,543,558,573,540,562,562,246,2025-04-15 14:03:50.154
528780,498,549,560,576,539,567,562,247,2025-04-15 14:03:50.158
528781,501,545,554,574,540,564,559,248,2025-04-15 14:03:50.162
528782,501,540,550,567,531,558,553,249,2025-04-15 14:03:50.169
528783,499,541,548,566,529,559,550,250,2025-04-15 14:03:50.171
528784,503,543,558,572,539,564,559,251,2025-04-15 14:03:50.174
528785,502,548,561,576,542,566,566,252,2025-04-15 14:03:50.178
528786,497,547,553,574,537,565,555,253,2025-04-15 14:03:50.182
528787,499,540,548,568,529,558,550,254,2025-04-15 14:03:50.186
528788,501,538,550,565,532,557,554,255,2025-04-15 14:03:50.190
528789,500,550,555,577,537,566,557,256,2025-04-15 14:03:50.194
528790,496,545,558,575,540,565,561,257,2025-04-15 14:03:50.198
528791,499,545,549,572,538,562,560,258,2025-04-15 14:03:50.202
528792,498,540,547,567,529,557,550,259,2025-04-15 14:03:50.206
528793,501,536,547,566,530,555,551,260,2025-04-15 14:03:50.210
528794,504,545,556,574,540,563,562,261,2025-04-15 14:03:50.214
528795,497,546,558,576,539,565,563,262,2025-04-15 14:03:50.218
528796,498,547,554,573,536,563,555,263,2025-04-15 14:03:50.222
528797,501,538,550,564,531,555,554,264,2025-04-15 14:03:50.226
528798,496,538,546,567,529,558,549,265,2025-04-15 14:03:50.230
528799,500,550,557,578,540,567,558,266,2025-04-15 14:03:50.234
528800,500,547,559,576,540,565,562,267,2025-04-15 14:03:50.239
528801,498,544,554,569,537,561,560,268,2025-04-15 14:03:50.243
528802,498,539,553,567,529,557,549,269,2025-04-15 14:03:50.247
528803,500,537,550,564,530,554,554,270,2025-04-15 14:03:50.251
528804,501,544,556,576,536,565,557,271,2025-04-15 14:03:50.255
528805,500,547,559,576,539,566,562,272,2025-04-15 14:03:50.259
528806,495,546,553,574,537,564,556,273,2025-04-15 14:03:50.263
528807,498,538,545,566,531,557,550,274,2025-04-15 14:03:50.267
528808,498,541,548,568,530,559,550,275,2025-04-15 14:03:50.271
528809,502,546,559,576,540,564,565,276,2025-04-15 14:03:50.275
528810,498,547,559,577,541,567,563,277,2025-04-15 14:03:50.279
528811,499,547,553,575,537,564,556,278,2025-04-15 14:03:50.283
528812,498,539,546,566,529,557,549,279,2025-04-15 14:03:50.287
528813,501,537,551,568,531,557,553,280,2025-04-15 14:03:50.291
528814,503,546,559,575,542,565,563,281,2025-04-15 14:03:50.295
528815,498,549,559,574,541,565,563,282,2025-04-15 14:03:50.299
528816,497,544,552,573,536,564,555,283,2025-04-15 14:03:50.303
528817,501,537,550,565,532,554,554,284,2025-04-15 14:03:50.307
528818,499,541,550,570,531,564,551,285,2025-04-15 14:03:50.311
528819,503,546,560,573,542,564,564,286,2025-04-15 14:03:50.315
528820,502,549,562,578,543,566,566,287,2025-04-15 14:03:50.319
528821,505,546,553,573,535,564,552,288,2025-04-15 14:03:50.323
528822,500,539,547,564,529,555,549,289,2025-04-15 14:03:50.327
528823,501,537,551,567,533,557,555,290,2025-04-15 14:03:50.331
528824,499,549,565,577,538,567,560,291,2025-04-15 14:03:50.335
528825,497,548,558,576,539,567,561,292,2025-04-15 14:03:50.339
528826,501,544,556,572,539,562,562,293,2025-04-15 14:03:50.343
528827,503,537,552,565,533,557,559,294,2025-04-15 14:03:50.347
528828,500,543,554,570,533,560,554,295,2025-04-15 14:03:50.351
528829,503,553,561,580,544,569,560,296,2025-04-15 14:03:50.355
528830,502,548,561,576,543,566,566,297,2025-04-15 14:03:50.359
528831,498,547,554,574,536,564,555,298,2025-04-15 14:03:50.363
528832,502,540,550,567,533,557,556,299,2025-04-15 14:03:50.367
528833,503,545,552,571,536,562,553,300,2025-04-15 14:03:50.371
528834,502,552,559,580,541,570,562,301,2025-04-15 14:03:50.375
528835,503,552,562,578,544,566,566,302,2025-04-15 14:03:50.379
528836,502,547,558,572,540,564,561,303,2025-04-15 14:03:50.383
528837,500,537,551,565,533,557,555,304,2025-04-15 14:03:50.387
528838,506,543,555,571,535,561,561,305,2025-04-15 14:03:50.391
528839,503,550,559,578,541,570,563,306,2025-04-15 14:03:50.395
528840,501,553,561,580,543,570,566,307,2025-04-15 14:03:50.399
528841,503,544,557,572,539,563,563,308,2025-04-15 14:03:50.403
528842,503,538,551,564,533,551,555,309,2025-04-15 14:03:50.407
528843,509,545,556,569,538,561,560,310,2025-04-15 14:03:50.412
528844,506,552,562,579,545,567,569,311,2025-04-15 14:03:50.416
528845,501,552,558,580,540,570,560,312,2025-04-15 14:03:50.420
528846,501,548,553,576,536,566,557,313,2025-04-15 14:03:50.424
528847,503,540,550,567,534,557,555,314,2025-04-15 14:03:50.428
528848,502,547,554,575,537,564,554,315,2025-04-15 14:03:50.432
528849,504,551,561,580,541,570,564,316,2025-04-15 14:03:50.436
528850,503,554,562,581,544,570,563,317,2025-04-15 14:03:50.440
528851,501,550,554,576,535,566,556,318,2025-04-15 14:03:50.444
528852,500,541,549,569,530,560,549,319,2025-04-15 14:03:50.448
528853,502,547,553,573,538,566,555,320,2025-04-15 14:03:50.452
528854,502,552,561,580,541,571,562,321,2025-04-15 14:03:50.456
528855,505,550,563,578,543,567,569,322,2025-04-15 14:03:50.460
528856,502,547,556,573,538,565,559,323,2025-04-15 14:03:50.464
528857,499,540,547,560,529,558,549,324,2025-04-15 14:03:50.468
528858,502,546,553,574,536,563,557,325,2025-04-15 14:03:50.472
528859,502,550,561,578,543,569,565,326,2025-04-15 14:03:50.476
528860,502,549,561,576,542,566,566,327,2025-04-15 14:03:50.480
528861,501,546,552,572,535,563,556,328,2025-04-15 14:03:50.484
528862,500,537,547,566,528,557,550,329,2025-04-15 14:03:50.488
528863,503,544,553,570,536,559,559,330,2025-04-15 14:03:50.492
528864,504,549,562,574,543,567,566,331,2025-04-15 14:03:50.496
528865,502,549,562,578,544,566,567,332,2025-04-15 14:03:50.500
528866,500,545,553,573,535,562,556,333,2025-04-15 14:03:50.504
528867,505,539,549,565,531,556,551,334,2025-04-15 14:03:50.508
528868,505,547,556,573,543,564,561,335,2025-04-15 14:03:50.512
528869,500,552,558,580,540,568,560,336,2025-04-15 14:03:50.516
528870,502,548,562,576,541,565,565,337,2025-04-15 14:03:50.520
528871,496,541,550,570,525,562,553,338,2025-04-15 14:03:50.524
528872,502,537,550,565,532,554,555,339,2025-04-15 14:03:50.528
528873,504,545,556,571,538,561,560,340,2025-04-15 14:03:50.532
528874,503,549,562,578,542,567,566,341,2025-04-15 14:03:50.536
528875,498,546,557,577,538,567,560,342,2025-04-15 14:03:50.540
528876,499,538,551,572,535,561,553,343,2025-04-15 14:03:50.544
528877,502,538,550,564,529,557,552,344,2025-04-15 14:03:50.548
528878,503,543,556,571,537,562,560,345,2025-04-15 14:03:50.552
528879,501,549,561,578,540,569,562,346,2025-04-15 14:03:50.556
528880,501,545,558,574,542,564,564,347,2025-04-15 14:03:50.560
528881,497,542,549,570,532,560,551,348,2025-04-15 14:03:50.564
528882,500,537,548,566,530,558,550,349,2025-04-15 14:03:50.568
528883,504,544,556,571,539,562,561,350,2025-04-15 14:03:50.572
528884,500,553,557,579,541,570,561,351,2025-04-15 14:03:50.577
528885,498,549,561,574,541,564,564,352,2025-04-15 14:03:50.581
528886,500,544,550,573,532,561,551,353,2025-04-15 14:03:50.585
528887,499,541,547,567,531,556,551,354,2025-04-15 14:03:50.589
528888,497,545,551,572,533,564,554,355,2025-04-15 14:03:50.593
528889,498,545,558,577,542,566,562,356,2025-04-15 14:03:50.597
528890,502,547,559,577,539,563,564,357,2025-04-15 14:03:50.601
528891,500,540,551,568,531,558,554,358,2025-04-15 14:03:50.605
528892,501,537,548,563,529,555,550,359,2025-04-15 14:03:50.609
528893,501,544,556,573,539,565,561,360,2025-04-15 14:03:50.613
528894,501,550,561,577,542,567,563,361,2025-04-15 14:03:50.617
528895,500,544,556,574,539,563,562,362,2025-04-15 14:03:50.621
528896,500,547,552,565,534,556,555,363,2025-04-15 14:03:50.625
528897,498,538,546,566,529,557,548,364,2025-04-15 14:03:50.629
528898,504,545,555,571,539,560,562,365,2025-04-15 14:03:50.633
528899,498,549,561,577,542,568,562,366,2025-04-15 14:03:50.637
528900,500,544,556,571,541,562,562,367,2025-04-15 14:03:50.641
528901,499,538,549,566,533,557,556,368,2025-04-15 14:03:50.645
528902,500,539,547,568,528,559,548,369,2025-04-15 14:03:50.649
528903,503,546,558,574,539,565,562,370,2025-04-15 14:03:50.653
528904,502,553,559,581,541,571,560,371,2025-04-15 14:03:50.657
528905,498,547,559,573,542,564,563,372,2025-04-15 14:03:50.661
528906,498,538,549,568,530,559,550,373,2025-04-15 14:03:50.665
528907,503,537,551,561,532,556,555,374,2025-04-15 14:03:50.669
528908,503,544,556,571,539,561,561,375,2025-04-15 14:03:50.673
528909,498,548,557,576,538,567,559,376,2025-04-15 14:03:50.677
528910,499,546,556,572,539,564,561,377,2025-04-15 14:03:50.681
528911,501,538,551,566,533,557,555,378,2025-04-15 14:03:50.685
528912,497,538,549,566,529,556,554,379,2025-04-15 14:03:50.689
528913,502,549,558,576,538,566,560,380,2025-04-15 14:03:50.693
528914,499,546,559,576,539,566,562,381,2025-04-15 14:03:50.697
528915,499,547,557,575,538,564,559,382,2025-04-15 14:03:50.701
528916,503,536,548,564,531,556,553,383,2025-04-15 14:03:50.705
528917,497,535,548,562,530,553,553,384,2025-04-15 14:03:50.709
528918,502,545,558,573,539,564,563,385,2025-04-15 14:03:50.713
528919,501,548,558,577,543,567,567,386,2025-04-15 14:03:50.717
528920,499,544,556,571,539,562,560,387,2025-04-15 14:03:50.721
528921,499,541,549,567,539,557,555,388,2025-04-15 14:03:50.725
528922,503,538,552,567,533,559,557,389,2025-04-15 14:03:50.729
528923,506,547,559,576,539,565,562,390,2025-04-15 14:03:50.733
528924,502,552,560,579,540,569,561,391,2025-04-15 14:03:50.737
528925,501,543,561,572,540,563,562,392,2025-04-15 14:03:50.741
528926,501,538,550,566,532,556,553,393,2025-04-15 14:03:50.746
528927,499,539,548,566,531,557,553,394,2025-04-15 14:03:50.750
528928,502,544,556,573,541,563,562,395,2025-04-15 14:03:50.754
528929,499,550,551,578,539,568,560,396,2025-04-15 14:03:50.758
528930,498,546,555,572,536,563,555,397,2025-04-15 14:03:50.762
528931,496,539,546,567,529,558,552,398,2025-04-15 14:03:50.766
528932,500,536,549,565,530,555,551,399,2025-04-15 14:03:50.770
528933,501,548,555,576,537,566,560,400,2025-04-15 14:03:50.774
528934,493,549,557,576,536,567,557,401,2025-04-15 14:03:50.778
528935,500,545,557,572,538,562,561,402,2025-04-15 14:03:50.782
528936,497,535,539,563,531,554,554,403,2025-04-15 14:03:50.786
528937,497,540,547,567,529,558,546,404,2025-04-15 14:03:50.790
528938,501,548,556,574,538,566,560,405,2025-04-15 14:03:50.794
528939,497,547,558,576,538,566,562,406,2025-04-15 14:03:50.798
528940,497,544,553,572,535,562,558,407,2025-04-15 14:03:50.802
528941,496,538,546,567,528,556,547,408,2025-04-15 14:03:50.806
