ADC1,ADC2,ADC3,ADC4,ADC5,ADC6,ADC7,ADC8,Counter,Timestamp
95,533,545,562,529,552,552,544,1,2025-04-15 14:03:49.168
528535,495,533,545,560,528,552,549,2,2025-04-15 14:03:49.172
528536,499,545,555,569,537,560,560,3,2025-04-15 14:03:49.176
528537,492,546,560,573,537,564,555,4,2025-04-15 14:03:49.180
528538,495,540,553,567,535,558,558,5,2025-04-15 14:03:49.184
528539,492,535,546,564,527,555,548,6,2025-04-15 14:03:49.188
528540,498,534,548,562,530,553,553,7,2025-04-15 14:03:49.192
528541,501,543,555,571,539,561,559,8,2025-04-15 14:03:49.197
528542,495,545,555,576,537,565,557,9,2025-04-15 14:03:49.201
528543,498,542,555,570,535,552,557,10,2025-04-15 14:03:49.205
528544,495,537,545,565,528,556,546,11,2025-04-15 14:03:49.209
528545,498,536,543,564,529,554,551,12,2025-04-15 14:03:49.213
528546,501,544,558,573,540,563,562,13,2025-04-15 14:03:49.217
528547,498,544,558,572,536,563,563,14,2025-04-15 14:03:49.221
528548,496,544,551,571,535,561,555,15,2025-04-15 14:03:49.225
528549,495,532,544,559,528,551,550,16,2025-04-15 14:03:49.229
528550,496,538,539,566,530,556,548,17,2025-04-15 14:03:49.233
528551,501,545,555,570,539,562,563,18,2025-04-15 14:03:49.237
528552,495,547,554,573,539,565,560,19,2025-04-15 14:03:49.241
528553,496,543,544,569,536,560,556,20,2025-04-15 14:03:49.245
528554,495,537,545,565,528,554,547,21,2025-04-15 14:03:49.249
528555,494,542,545,565,526,555,547,22,2025-04-15 14:03:49.253
528556,498,545,555,572,536,560,558,23,2025-04-15 14:03:49.257
528557,497,544,556,571,539,562,562,24,2025-04-15 14:03:49.261
528558,494,541,553,568,533,559,556,25,2025-04-15 14:03:49.265
528559,493,534,542,560,523,554,545,26,2025-04-15 14:03:49.269
528560,500,538,548,566,529,556,548,27,2025-04-15 14:03:49.273
528561,499,545,557,573,538,566,563,28,2025-04-15 14:03:49.277
528562,496,545,557,568,538,563,560,29,2025-04-15 14:03:49.281
528563,500,542,555,569,535,560,557,30,2025-04-15 14:03:49.285
528564,491,535,546,563,528,553,547,31,2025-04-15 14:03:49.289
528565,496,538,544,563,528,554,548,32,2025-04-15 14:03:49.293
528566,496,546,553,574,536,571,555,33,2025-04-15 14:03:49.297
