57815,48144.97,63770.62,21663.26,-11674.21,81043.77,-60192.31,12690.79,1,0
203867.9,167691.1,261541.7,78364.33,-40613.51,253413.6,-214286.3,25897.54,2,9.309
329804.8,269567.7,497170.8,121731.6,-79880.36,304563.5,-334287.7,25749.47,3,4.285
383360.6,347003.8,637461.8,144929.3,-140195.2,198908.6,-340505.5,94612.5,4,0.037
402247.7,471380.8,676415.3,241505.1,-200279.3,134024.4,-258122.3,264978.2,5,5.641
402201.3,600399.2,660194,439343.8,-193453,185103.6,-66829.05,433087.6,6,8.798
426716.3,684135,640624.4,636448.1,-40499.21,329889.8,181322.2,563695.8,7,4.26
511484.6,748458.1,664667.1,761012.8,276197.4,536170.4,358887.1,684471.3,8,0.043
611217.6,783120,725267.9,814728.1,606367.6,700910.8,467458.3,749181,9,9.922
683072.1,767666.5,775008.4,797131.1,795330.6,741839,563022.9,747579.8,10,0.043
728419.4,740110.3,780638.4,740263.5,846559.8,696812.8,640225,745568.3,11,1.881
738707.6,730425,747447.7,712496.1,808244.8,656115.9,707907.6,754764.7,12,3.718
733468.9,736089.2,718592.3,730721.7,732504.3,681617.8,761171.4,751846.9,13,10.616
734834.3,739252.9,713972.7,752112.8,705057.4,733258.4,780504.1,741766.8,14,0.046
742851.6,739077.9,726660.6,753149.6,738497.9,767649.3,766293.4,738912.9,15,2.468
747587.8,736828.8,748532.8,743624.8,766244.3,780947.6,735339.6,737613.2,16,0.044
713503.9,697297.2,750592.4,727762.5,741480.4,744920.6,727012.7,714098.6,17,9.548
632165.9,616519.5,721321.4,712533.2,655282.8,690914.4,747138.6,663024.7,18,2.29
541639.6,538212.1,692073,716823,550430.2,689271,760900.5,596767.6,19,3.781
488004.8,488195.5,702907.3,740519,472365.9,747730.8,745315.4,521917.6,20,7.622
464160,449301.5,740872.1,746211.8,435546.3,777876.5,720435.8,448823.8,21,6.865
432967.3,406883,743468.9,714502.7,432448.7,706916.1,720520.9,407519.1,22,0.049
400763.9,387273.4,701780.2,687700.8,420267.7,613825.4,737848.4,413395.4,23,2.156
391576.7,399296.2,675466.5,705216.8,381846.3,600790.8,741319.1,424063.5,24,0.047
403146,406181.2,698731.8,737106.9,352482.3,635760.4,725936,397153.2,25,10.587
402138.4,381618.5,731274.1,729528.7,359349.6,620541.9,712137.6,355811.1,26,4.551
369633.3,344553,719459.6,691198.1,373349.2,540190.3,714646.3,340525.5,27,0.055
338807.5,333883.7,682609.7,678840,347541.4,484917.6,722075.4,347754.2,28,2.938
337769.3,346288.6,673499,704104.1,302862.8,497686.2,720419.6,342515.5,29,7.015
351625.5,347199.6,695578.9,721037.4,294073,518564.9,708465,318800,30,0.045
346806.2,326166.1,709320,702913.7,316444.1,492016.8,688852.6,301525.8,31,6.689
318491.7,303066.2,694062.6,678336.1,318960,439017.6,667517.1,297043.8,32,6.806
299248.5,298362.5,674435.8,679577.2,285383.7,414517.1,646892.6,292395.8,33,0.041
302892.6,304130.6,673639.1,694673.3,258901,421489.2,625795.4,282108.2,34,3.062
310586.9,301698.7,682841.9,696180.8,266667.3,422768.4,604167.3,273536.5,35,11.814
302159.8,288405.4,685003.1,683348.6,279212.8,403193.8,582854.9,268116.8,36,0.04
282694.9,274284,677393.2,674060.3,267906.3,377318.3,564161.3,258476.6,37,2.489
272891,269175.3,669517.3,674866.1,245427.6,362227.9,549567.9,247975.5,38,0.033
275251.1,270589,666522.3,677263.3,238188.4,357365.5,536430.4,244825.8,39,9.363
276401.7,269016.2,666384.5,675610.9,243632.2,353149,520769.1,244876.5,40,4.571
268554.5,260684.2,666792.6,671591.9,241886.7,344389.6,503214.9,238049.4,41,0.045
257430.2,250337.4,665043.4,667147.2,231511.2,330700.6,488110.5,225673.6,42,5.418
252323.1,245631.8,660417.3,663282.4,223908.9,317281.3,477080.2,219404.3,43,8.041
251726.1,245883.3,655352.8,661354.9,221754.1,309120.6,466776.1,220672.6,44,0.041
249318.3,244021.6,652697.8,661153.3,218846.9,304755,454341,219332.3,45,2.376
243484.8,237494.1,652318.3,659676.4,213346.5,299279.9,441346.4,211383.8,46,0.035
237905.8,230912,651537,655648.3,209502.6,291288.8,429638.7,203405.4,47,35.708
234887.5,227941.6,648803.3,651426.7,207503,282358.2,419732.5,200450.4,48,21.211
232161.7,226225.5,644713.8,648876.8,203830.1,273880.8,410730.1,199491.1,49,2.452
228116.2,222873.8,640545.3,647365.2,198667.5,266716.3,401642.7,196640.3,50,2.617
224119.2,218905.5,637907.9,645856.4,194822.8,262445.8,392309.8,192288.9,51,2.435
221992.5,216169,637817.8,643999.1,192858.4,260670.6,382246.3,187870.8,52,2.443
219794.3,213110.8,637533.6,640755,191322.6,255086.3,373071,183661.5,53,2.459
215736.5,209004.8,633733.6,636220.2,188591,244443.6,365733.8,180889.1,54,3.009
211385.7,206084,627820.4,633182.1,184532.1,236073,358930.8,179950.2,55,2.068
209002.9,204926.4,624513.5,633097.2,180382.1,234837.1,351537.3,178123.4,56,2.821
208405.7,203306.2,625385.1,632806.4,177912.8,235948.1,343108.4,173712.8,57,2.429
206168.5,199232.7,625430.8,628752.3,177929.2,230270.6,335324.3,169043.6,58,2.29
202060.9,195212,621343.8,623248.8,176939.8,220140.6,328747.1,167301.7,59,2.382
198548.2,193726.1,616026,620873.8,172532.7,214052.3,322738.1,167062.7,60,2.48
196597.7,192747.1,612937.4,621085.3,167787.3,212829.1,317339.8,164827,61,2.465
195775.5,190653.8,612415.3,619879.4,166282,212375,311130.5,161295,62,3.155
